from_ksh,to_ksh,to_name,road_km,drive_minutes,haversine_km
17376,29267,Tác,21.4,18,6.8
17376,20206,Seregélyes,27.1,25,7.7
17376,06734,Csősz,28.2,28,8.5
17376,25344,Sárkeresztúr,9.0,9,8.8
17376,33321,Soponya,13.9,24,9.0
17376,25140,Sárosd,17.1,18,11.2
17376,28705,Szabadbattyán,19.2,17,12.0
17376,16683,Káloz,16.7,18,13.5
17376,31538,Sárszentágota,14.0,14,13.9
17376,17525,Polgárdi,29.3,23,14.8
17376,13259,Szabadegyháza,25.1,26,14.8
17376,10296,Gárdony,28.3,25,15.1
17376,14827,Székesfehérvár,17.3,19,15.2
17376,32364,Nagylók,27.5,29,15.5
17376,28990,Kisláng,27.6,38,15.6
17376,17622,Úrhida,23.8,26,16.6
17376,23427,Hantos,23.5,25,16.7
17376,11776,Sárszentmihály,21.6,24,16.7
17376,25751,Pákozd,25.0,22,16.9
17376,06576,Mezőszentgyörgy,43.1,47,17.8
12441,09557,Tomajmonostora,18.7,21,7.5
12441,16230,Tiszaderzs,10.1,13,7.8
12441,22770,Tiszabura,9.0,11,8.5
12441,22789,Tiszaszentimre,20.2,25,10.0
12441,30304,Tiszagyenda,21.1,28,11.9
12441,18281,Kisköre,16.6,23,12.2
12441,22567,Kunhegyes,13.7,19,12.3
12441,20181,Tiszaroff,22.0,28,13.1
12441,07083,Tiszanána,23.8,31,14.0
12441,07852,Tiszaszőlős,19.4,25,14.6
12441,07180,Sarud,27.8,35,15.2
12441,28699,Tiszaigar,37.1,39,17.2
12441,10773,Tiszabő,27.7,36,17.4
12441,15787,Tiszaörs,35.6,38,17.8
12441,23171,Kunmadaras,28.1,34,18.3
12441,19567,Pély,36.3,50,18.8
12441,16160,Tarnaszentmiklós,29.1,38,19.0
12441,29726,Tiszafüred,27.4,35,20.1
12441,17695,Tiszasüly,29.7,38,20.5
12441,17145,Kenderes,27.8,34,20.8
12548,11730,Orfű,8.1,10,4.9
12548,07126,Hetvehely,13.4,18,6.2
12548,05430,Magyarhertelend,11.7,14,6.6
12548,15538,Kővágószőlős,21.8,25,7.0
12548,23162,Bükkösd,10.8,12,8.0
12548,22600,Magyarszék,16.7,19,9.5
12548,16285,Mindszentgodisa,14.7,18,9.8
12548,32160,Sásd,17.2,21,12.1
12548,19415,Pécs,19.2,24,12.3
12548,33066,Ibafa,55.7,62,12.3
12548,13310,Bicsérd,29.4,33,12.6
12548,15866,Szentlőrinc,21.9,24,12.9
12548,26408,Komló,27.5,32,13.9
12548,16115,Pellérd,25.0,30,14.3
12548,15079,Szabadszentkirály,27.3,30,15.5
12548,33233,Gödre,26.9,30,17.0
12548,02264,Vásárosdombó,23.1,25,18.3
12548,30438,Görcsöny,32.9,40,18.8
12548,27164,Nagypeterd,27.7,29,18.8
12548,29540,Mozsgó,43.0,46,19.2
24554,34324,Pálosvörösmart,3.7,5,2.4
24554,16540,Markaz,4.2,6,3.1
24554,05236,Gyöngyös,9.3,12,3.9
24554,31246,Visonta,5.1,9,4.4
24554,11411,Halmajugra,8.0,14,6.7
24554,07515,Domoszló,8.9,11,6.8
24554,19123,Gyöngyössolymos,12.4,20,7.9
24554,09201,Detk,17.4,24,9.0
24554,07436,Parád,30.2,33,9.6
24554,05935,Karácsond,13.8,18,10.0
24554,13338,Gyöngyösoroszi,18.7,25,10.7
24554,05759,Vécs,14.0,22,10.8
24554,17534,Gyöngyöshalász,15.2,18,11.8
24554,28088,Gyöngyöstarján,19.5,27,13.4
24554,23241,Adács,20.1,25,14.4
24554,06345,Aldebrő,28.9,33,14.5
24554,14933,Bodony,30.4,34,14.8
24554,31486,Nagyréde,19.3,24,15.0
24554,09609,Recsk,32.9,36,15.2
24554,14872,Mátraderecske,36.8,41,15.6
15662,14474,Boldogkőváralja,8.8,11,4.1
15662,26718,Abaújkér,6.4,7,5.1
15662,03595,Abaújszántó,7.3,10,5.5
15662,12210,Tállya,14.1,17,7.5
15662,21087,Vizsoly,14.6,17,9.6
15662,03902,Mád,22.9,33,11.0
15662,25618,Méra,18.3,20,11.0
15662,12469,Rátka,16.8,22,11.1
15662,22503,Erdőhorváti,23.0,30,11.9
15662,33048,Encs,36.9,30,12.2
15662,27191,Novajidrány,22.7,25,12.7
15662,11581,Vilmány,18.8,22,13.1
15662,31778,Olaszliszka,17.6,20,13.4
15662,28051,Tolcsva,17.3,21,13.6
15662,31015,Szalaszend,21.4,24,14.3
15662,30483,Forró,17.9,19,14.4
15662,07825,Monok,18.7,23,14.5
15662,08086,Ináncs,19.8,22,16.3
15662,21829,Hernádkércs,35.0,37,16.5
15662,33808,Bodrogkisfalud,57.6,68,16.7
26718,14474,Boldogkőváralja,6.6,7,4.1
26718,03595,Abaújszántó,5.4,8,5.1
26718,25618,Méra,13.2,15,6.5
26718,33048,Encs,31.9,25,7.2
26718,21087,Vizsoly,8.2,10,7.7
26718,12210,Tállya,12.3,15,9.4
26718,30483,Forró,12.9,14,9.4
26718,27191,Novajidrány,14.2,19,9.6
26718,31015,Szalaszend,16.4,18,10.1
26718,08086,Ináncs,15.7,17,11.5
26718,11581,Vilmány,12.4,15,12.1
26718,12469,Rátka,15.0,20,12.7
26718,07825,Monok,16.8,21,12.8
26718,21829,Hernádkércs,29.9,32,12.9
26718,03902,Mád,21.0,31,14.1
26718,18184,Baktakék,20.1,24,14.3
26718,19840,Hernádvécse,24.9,23,15.3
26718,03531,Léh,27.4,27,16.0
26718,27942,Halmaj,24.8,22,16.2
26718,22503,Erdőhorváti,30.3,33,16.6
02820,23533,Felsővadász,6.3,7,4.9
02820,29708,Felsőgagy,10.8,12,5.8
02820,18184,Baktakék,10.6,14,6.0
02820,29717,Rakaca,18.2,20,7.7
02820,19576,Krasznokvajda,12.0,14,8.9
02820,15857,Lak,22.5,24,9.2
02820,31015,Szalaszend,26.8,31,11.8
02820,03531,Léh,19.0,26,12.6
02820,30483,Forró,21.8,24,12.8
02820,33048,Encs,41.3,36,13.1
02820,08086,Ináncs,23.5,27,13.9
02820,25618,Méra,23.7,27,14.3
02820,21236,Homrogd,17.4,19,14.6
02820,11226,Hangács,32.6,39,14.9
02820,27191,Novajidrány,28.1,32,15.2
02820,19840,Hernádvécse,34.4,34,16.2
02820,08077,Szendrő,43.6,46,16.9
02820,27456,Szendrőlád,40.2,41,17.3
02820,27942,Halmaj,33.7,33,17.5
02820,16753,Szalonna,37.5,40,17.9
03595,12210,Tállya,8.4,12,4.5
03595,26718,Abaújkér,5.4,8,5.1
03595,12469,Rátka,11.1,17,7.6
03595,14474,Boldogkőváralja,9.5,13,7.9
03595,07825,Monok,12.9,18,8.9
03595,03902,Mád,17.1,28,9.5
03595,33048,Encs,36.0,31,11.1
03595,25618,Méra,17.3,21,11.3
03595,21829,Hernádkércs,27.5,37,11.4
03595,30483,Forró,17.0,20,11.7
03595,30739,Szerencs,16.9,23,12.4
03595,08086,Ináncs,14.1,18,12.6
03595,21087,Vizsoly,13.6,18,12.6
03595,11660,Legyesbénye,21.4,28,14.3
03595,03443,Mezőzombor,21.4,28,14.5
03595,27191,Novajidrány,21.8,26,14.7
03595,31015,Szalaszend,20.4,25,14.9
03595,06929,Bekecs,23.4,27,15.3
03595,31778,Olaszliszka,24.8,29,15.6
03595,21768,Megyaszó,27.4,40,15.6
26338,18184,Baktakék,9.6,14,3.2
26338,23533,Felsővadász,12.0,12,4.9
26338,29708,Felsőgagy,12.8,14,7.3
26338,30483,Forró,20.8,24,9.3
26338,03531,Léh,18.1,25,9.4
26338,15857,Lak,18.9,23,9.7
26338,31015,Szalaszend,25.9,30,9.9
26338,33048,Encs,40.4,35,10.1
26338,08086,Ináncs,22.5,27,10.4
26338,29717,Rakaca,20.1,22,11.1
26338,25618,Méra,22.7,27,11.8
26338,19576,Krasznokvajda,14.0,16,12.0
26338,21236,Homrogd,13.6,18,12.1
26338,11226,Hangács,29.0,38,13.5
26338,27191,Novajidrány,27.2,31,13.6
26338,27942,Halmaj,32.7,32,14.2
26338,19840,Hernádvécse,33.5,33,15.8
26338,21829,Hernádkércs,37.9,42,16.5
26338,29814,Alsóvadász,18.6,24,16.6
26338,21087,Vizsoly,33.0,39,17.0
02273,15936,Gönc,9.6,11,6.9
02273,31167,Hollóháza,11.0,13,7.0
02273,11697,Hidasnémeti,12.4,15,9.7
02273,11378,Füzérkomlós,16.3,21,9.8
02273,11581,Vilmány,15.8,18,13.5
02273,19840,Hernádvécse,21.3,25,14.0
02273,12362,Pálháza,19.8,26,15.5
02273,21087,Vizsoly,20.3,24,17.9
02273,27191,Novajidrány,24.8,26,18.3
02273,24253,Mikóháza,29.1,40,20.8
02273,31015,Szalaszend,32.5,35,21.5
02273,14474,Boldogkőváralja,26.9,32,22.0
02273,25618,Méra,29.4,31,22.8
02273,22503,Erdőhorváti,39.7,44,23.6
02273,29708,Felsőgagy,50.4,46,24.1
02273,26718,Abaújkér,28.0,33,25.4
02273,33048,Encs,31.5,27,25.6
02273,19576,Krasznokvajda,57.2,54,26.0
02273,30137,Hercegkút,52.1,62,26.6
02273,18184,Baktakék,43.4,40,27.3
11882,20604,Ikrény,8.0,12,4.6
11882,31626,Kunsziget,11.0,17,5.7
11882,02635,Öttevény,8.1,12,7.1
11882,15228,Győrzámoly,17.3,25,7.4
11882,25335,Rábapatona,15.4,18,8.2
11882,21078,Dunaszeg,21.1,31,8.9
11882,25584,Győr,11.8,17,9.0
11882,15033,Enese,13.7,13,9.6
11882,33677,Mosonszentmiklós,20.7,17,10.0
11882,24633,Koroncó,19.9,19,11.4
11882,22886,Kisbajcs,16.9,22,11.6
11882,19309,Győrsövényház,21.0,21,12.1
11882,07481,Győrújbarát,20.2,21,12.5
11882,26921,Ásványráró,24.7,30,14.2
11882,15653,Győrszemere,22.5,21,15.1
11882,33701,Rábacsécsény,22.6,24,15.2
11882,16674,Töltéstava,23.1,21,15.2
11882,12308,Hédervár,27.9,34,15.6
11882,12955,Nyúl,22.6,24,15.7
11882,11262,Kóny,20.9,20,15.9
10357,15857,Lak,11.5,23,5.3
10357,08077,Szendrő,10.2,13,6.1
10357,27456,Szendrőlád,15.7,18,7.7
10357,29717,Rakaca,33.0,34,8.3
10357,23533,Felsővadász,26.0,36,8.4
10357,16753,Szalonna,15.3,19,9.2
10357,24606,Szuhogy,15.0,18,10.2
10357,10728,Edelény,15.7,19,11.7
10357,11226,Hangács,27.0,35,12.4
10357,33419,Perkupa,20.0,24,12.7
10357,31671,Felsőtelekes,19.8,23,13.3
10357,34069,Ormosbánya,23.8,27,13.6
10357,23029,Rudabánya,19.1,21,13.7
10357,34120,Rudolftelep,32.2,40,14.0
10357,05591,Izsófalva,26.3,30,15.0
10357,19576,Krasznokvajda,42.8,46,15.2
10357,21236,Homrogd,20.4,32,15.6
10357,16799,Borsodszirák,21.5,27,15.9
10357,29708,Felsőgagy,46.0,48,15.9
10357,18184,Baktakék,38.0,55,16.0
27872,14836,Zagyvarékas,20.4,21,9.0
27872,15291,Újszász,10.8,13,9.7
27872,22008,Törtel,11.9,18,10.0
27872,17808,Újszilvás,10.9,12,10.4
27872,07490,Tószeg,14.4,19,11.8
27872,27854,Szolnok,13.2,15,12.1
27872,11341,Cegléd,16.8,17,15.2
27872,11004,Jászkarajenő,19.2,27,15.5
27872,17303,Tápiógyörgye,19.5,23,15.8
27872,05777,Szászberek,19.6,25,16.2
27872,31866,Tiszavárkony,23.7,30,16.4
27872,02769,Tápiószőlős,19.5,24,16.7
27872,20066,Nyársapát,27.5,32,17.6
27872,15811,Jászboldogháza,30.0,39,18.9
27872,14146,Tápiószele,21.6,26,19.3
27872,32771,Kocsér,23.3,28,19.7
27872,11305,Besenyszög,30.6,30,20.8
27872,14207,Rákóczifalva,27.0,32,20.9
27872,05874,Szajol,24.7,25,21.0
27872,29346,Tiszajenő,26.6,32,21.9
04561,23454,Kővágóörs,6.7,9,3.9
04561,22327,Badacsonytomaj,6.6,8,4.5
04561,05625,Révfülöp,7.6,12,5.3
04561,02787,Nemesgulács,9.6,12,6.0
04561,14632,Fonyód,77.3,72,7.0
04561,33853,Balatonboglár,81.0,72,8.7
04561,25858,Köveskál,13.1,15,8.9
04561,16823,Ordacsehi,79.5,74,9.5
04561,24891,Szigliget,14.5,20,10.6
04561,29434,Tapolca,18.1,22,12.3
04561,20826,Zánka,17.4,24,12.3
04561,33862,Balatonlelle,56.5,74,12.4
04561,26675,Lengyeltóti,75.9,70,13.2
04561,20729,Balatonfenyves,63.7,63,13.8
04561,12238,Balatonederics,18.7,21,14.0
04561,11101,Szőlősgyörök,86.8,79,14.0
04561,22822,Balatonszemes,52.1,78,14.1
04561,14863,Látrány,66.4,84,15.7
04561,17871,Lesencetomaj,21.3,25,15.8
04561,25308,Balatonakali,19.1,23,16.0
04428,31422,Bana,14.8,22,7.7
04428,19363,Bábolna,14.1,18,7.7
04428,33543,Nagyszentjános,18.2,20,7.7
04428,20923,Kisigmánd,22.1,23,10.7
04428,33950,Bőny,23.2,26,11.6
04428,05449,Komárom,16.5,22,12.0
04428,02060,Gönyű,17.6,21,12.2
04428,22372,Nagyigmánd,16.4,21,13.0
04428,20987,Tárkány,22.3,29,14.0
04428,26930,Mocsa,23.5,32,14.8
04428,15529,Pér,41.6,37,15.3
04428,12812,Mezőörs,45.5,41,16.4
04428,10995,Kerékteleki,34.6,40,19.5
04428,16674,Töltéstava,33.6,30,20.2
04428,12715,Pázmándfalu,42.7,41,20.3
04428,32346,Almásfüzitő,21.8,30,20.4
04428,20163,Naszály,25.3,34,20.6
04428,02510,Kocs,26.5,32,20.9
04428,23852,Ászár,30.2,37,20.9
04428,22886,Kisbajcs,34.8,32,21.5
18573,21388,Püspökhatvan,5.2,9,3.6
18573,08387,Nógrádsáp,10.0,13,6.0
18573,30915,Vanyarc,17.5,21,6.4
18573,18689,Penc,15.1,19,8.2
18573,27128,Galgamácsa,15.2,21,8.5
18573,09797,Nézsa,14.5,18,8.9
18573,32300,Nógrádkövesd,10.3,14,9.3
18573,02389,Bercel,10.6,13,9.4
18573,05227,Kisnémedi,28.5,35,9.9
18573,08642,Kálló,12.6,16,10.3
18573,21634,Szirák,23.3,27,11.2
18573,02370,Rád,16.2,18,11.4
18573,19886,Váchartyán,23.3,27,11.7
18573,05917,Vácduka,25.5,27,13.0
18573,03300,Iklad,18.8,23,13.6
18573,16188,Aszód,22.9,28,14.3
18573,17668,Vácrátót,29.7,32,14.5
18573,13480,Erdőkertes,22.3,28,14.6
18573,08545,őrbottyán,24.2,29,14.6
18573,27687,Kosd,28.7,30,15.0
07214,18883,Salköveskút,4.7,4,4.6
07214,33172,Szeleste,15.3,19,5.7
07214,02431,Bük,8.3,10,6.1
07214,24509,Nemesbőd,11.2,13,6.9
07214,05476,Bő,12.7,14,7.3
07214,12140,Csepreg,11.1,13,7.9
07214,12043,Ölbő,17.0,19,9.1
07214,32188,Hegyfalu,19.9,24,9.8
07214,26426,Vép,15.8,18,11.0
07214,24183,Gencsapáti,18.9,21,12.1
07214,14021,Lukácsháza,15.3,15,12.4
07214,16887,Horvátzsidány,19.0,22,12.7
07214,26073,Rábapaty,25.5,26,14.2
07214,21306,Sárvár,22.9,24,15.8
07214,14988,Pecöl,25.2,28,15.8
07214,03009,Szombathely,19.6,23,16.0
07214,32045,Táplánszentkereszt,24.9,25,16.4
07214,04622,Zsira,20.6,23,17.0
07214,19673,Újkér,23.9,25,17.0
07214,20109,Kőszegszerdahely,21.9,22,17.0
33385,15501,Bősárkány,4.6,6,3.4
33385,33996,Farád,16.6,23,5.1
33385,04039,Csorna,7.6,8,5.6
33385,15422,Rábatamási,19.0,24,6.9
33385,06770,Markotabödöge,13.2,16,8.4
33385,15121,Osli,9.4,12,8.9
33385,15714,Szárföld,18.8,21,9.7
33385,04367,Bogyoszló,25.1,24,12.6
33385,29221,Jánossomorja,21.4,24,13.0
33385,28334,Kapuvár,16.2,20,13.5
33385,11262,Kóny,20.0,19,14.1
33385,33668,Lébény,16.3,20,14.4
33385,19309,Győrsövényház,20.2,24,15.5
33385,24721,Rábapordány,22.2,25,15.8
33385,28769,Bágyogszovát,19.1,21,15.8
33385,33701,Rábacsécsény,29.3,29,18.7
33385,21980,Mihályi,32.3,29,18.7
33385,29407,Agyagosszergény,26.4,31,18.9
33385,15033,Enese,29.0,24,19.0
33385,28149,Mosonszolnok,29.8,33,19.2
18139,31990,Súr,8.3,13,5.2
18139,30012,Réde,20.8,29,6.1
18139,25229,Bakonysárkány,15.1,20,6.6
18139,22381,Bakonyszombathely,8.6,13,6.8
18139,17330,Kisbér,19.2,28,7.1
18139,23588,Nagyveleg,24.3,30,8.4
18139,31699,Csetény,20.7,27,10.9
18139,08730,Bakonycsernye,16.5,22,11.7
18139,22813,Bakonyszentkirály,27.5,34,12.0
18139,23852,Ászár,18.5,26,12.1
18139,18485,Mór,24.8,29,12.3
18139,02936,Dudar,25.6,33,13.1
18139,22691,Veszprémvarsány,29.1,34,13.3
18139,16416,Császár,29.2,36,14.3
18139,10995,Kerékteleki,18.6,24,14.3
18139,31103,Balinka,21.3,27,14.8
18139,17774,Pusztavám,35.8,43,15.8
18139,05944,Bakonyszentlászló,34.5,46,16.9
18139,18254,Bodajk,26.5,33,17.0
18139,08721,Győrasszonyfa,24.9,30,18.0
23241,05935,Karácsond,14.6,17,4.5
23241,14580,Vámosgyörk,5.4,10,5.5
23241,03513,Visznek,17.0,24,6.3
23241,26879,Nagyfüged,21.7,22,6.7
23241,22105,Jászárokszállás,14.6,22,8.6
23241,17534,Gyöngyöshalász,11.8,16,8.7
23241,11411,Halmajugra,20.6,27,9.4
23241,16090,Atkár,13.3,19,9.7
23241,31246,Visonta,18.9,25,10.0
23241,20118,Erk,25.7,34,10.4
23241,09201,Detk,28.2,34,11.2
23241,17163,Tarnazsadány,25.6,27,11.8
23241,14128,Tarnaörs,23.4,30,12.4
23241,23348,Tarnaméra,29.7,32,13.1
23241,05236,Gyöngyös,18.0,25,13.7
23241,24554,Abasár,20.1,25,14.4
23241,22929,Jászágó,20.9,28,14.4
23241,31486,Nagyréde,21.8,25,14.7
23241,17978,Jászdózsa,25.6,36,14.7
23241,16841,Csány,22.5,31,15.2
06080,29063,Nagyberény,15.0,20,5.1
06080,14942,Ságvár,8.6,13,7.1
06080,16601,Balatonszabadi,13.9,25,7.3
06080,05689,Mezőkomárom,25.8,31,9.5
06080,02802,Enying,30.3,35,10.6
06080,06017,Magyarkeszi,32.3,36,11.1
06080,17631,Siófok,15.4,20,11.1
06080,17914,Felsőnyék,28.1,33,12.5
06080,19460,Balatonendréd,26.7,28,14.0
06080,07506,Lajoskomárom,30.2,36,14.2
06080,03559,Balatonvilágos,22.4,25,14.3
06080,07269,Lepsény,30.4,32,15.9
06080,16948,Mátyásdomb,38.0,42,16.0
06080,04701,Iregszemcse,24.5,27,16.0
06080,08590,Tab,26.8,31,16.1
06080,06008,Zamárdi,22.7,24,16.4
06080,34421,Balatonakarattya,28.3,30,18.4
06080,05272,Kánya,31.8,38,18.4
06080,29461,Balatonfőkajár,30.5,35,18.7
06080,06576,Mezőszentgyörgy,49.6,56,18.9
07302,25201,Nagytevel,4.9,7,3.4
07302,11855,Pápakovácsi,9.0,13,5.1
07302,31945,Pápa,6.4,8,5.1
07302,24767,Ugod,19.7,22,9.0
07302,29513,Bakonyjákó,16.0,22,9.2
07302,21777,Vanyola,18.3,21,10.5
07302,20154,Dáka,14.7,18,10.7
07302,26648,Vaszar,18.3,26,11.1
07302,20437,Magyarpolány,33.2,40,13.5
07302,29009,Nyárád,17.7,21,14.1
07302,22220,Marcaltő,21.5,24,14.9
07302,14757,Noszlop,22.4,27,15.6
07302,05087,Lovászpatona,24.8,30,15.6
07302,27979,Nagyalásony,20.9,26,16.2
07302,31255,Pápateszér,22.6,28,16.2
07302,04668,Mihályháza,20.5,25,16.3
07302,26860,Gyarmat,28.0,26,17.0
07302,23746,Bakonybél,30.0,35,17.2
07302,03887,Szerecseny,26.1,33,17.9
07302,21759,Nemesszalók,22.4,26,18.6
08925,19354,Perkáta,7.3,11,6.2
08925,13462,Iváncsa,10.3,12,6.5
08925,34209,Kulcs,11.3,10,6.6
08925,04394,Makád,16.0,33,7.5
08925,29018,Pusztaszabolcs,13.5,13,8.5
08925,09900,Rácalmás,17.9,12,9.3
08925,26259,Szigetbecse,18.3,38,9.8
08925,13259,Szabadegyháza,13.7,13,10.2
08925,08466,Beloiannisz,15.7,14,10.3
08925,17260,Ráckeve,14.3,26,10.3
08925,26134,Nagyvenyim,15.6,18,12.0
08925,16346,Besnyő,17.1,17,13.3
08925,23427,Hantos,28.9,30,14.8
08925,29647,Dömsöd,29.8,43,15.3
08925,25140,Sárosd,22.5,22,15.3
08925,23603,Ercsi,18.7,34,16.1
08925,15185,Szigetszentmárton,26.4,36,16.6
08925,20525,Tass,46.1,36,17.2
08925,03115,Dunaújváros,25.9,24,17.3
08925,17552,Mezőfalva,27.6,23,18.3
31307,32814,Csögle,4.4,6,4.0
31307,21759,Nemesszalók,10.5,11,5.4
31307,27094,Celldömölk,15.4,19,5.8
31307,04668,Mihályháza,18.8,24,9.7
31307,29009,Nyárád,15.2,16,9.8
31307,27979,Nagyalásony,18.8,22,9.9
31307,25654,Kerta,14.9,17,10.2
31307,03142,Vönöck,13.5,15,10.4
31307,09229,Tokorcs,16.3,19,11.0
31307,12247,Kemenesmagasi,18.7,24,11.3
31307,25779,Somlószőlős,18.6,20,11.9
31307,10232,Egyházashetye,18.0,20,12.0
31307,20154,Dáka,22.5,26,13.5
31307,11679,Jánosháza,23.8,27,16.1
31307,26152,Gérce,25.2,29,16.2
31307,26374,Magyargencs,28.4,32,16.3
31307,04631,Tüskevár,20.8,23,16.5
31307,32629,Ostffyasszonyfa,23.8,27,16.6
31307,09937,Kenyeri,23.2,26,18.3
31307,26569,Somlóvásárhely,20.7,25,19.2
06868,18050,Sámod,2.9,4,1.7
06868,10542,Kémes,4.0,5,3.3
06868,28538,Vajszló,7.9,9,6.6
06868,21892,Bogádmindszent,16.3,19,7.3
06868,32373,Diósviszló,10.1,19,7.7
06868,03975,Baksa,22.1,25,11.7
06868,21528,Harkány,16.1,18,12.2
06868,19901,Csányoszró,14.6,17,12.7
06868,05412,Magyarmecske,20.0,22,13.4
06868,28608,Drávaszabolcs,22.0,27,13.5
06868,07560,Garé,26.2,28,13.6
06868,30438,Görcsöny,26.4,30,15.0
06868,28741,Sellye,19.3,22,16.5
06868,21698,Drávasztára,21.5,24,17.3
06868,20552,Királyegyháza,25.9,29,17.5
06868,15079,Szabadszentkirály,30.9,34,18.1
06868,05519,Siklós,22.0,26,18.1
06868,22257,Szalánta,29.0,32,18.4
06868,13310,Bicsérd,41.0,46,20.3
06868,16115,Pellérd,33.2,38,20.4
25812,05999,Kárász,31.0,39,5.8
25812,04899,Bikal,26.4,31,6.2
25812,02264,Vásárosdombó,9.4,13,7.9
25812,06813,Mágocs,22.2,28,9.3
25812,26408,Komló,14.6,21,9.4
25812,27401,Egyházaskozár,31.1,37,9.9
25812,22600,Magyarszék,15.5,20,10.2
25812,33765,Szászvár,36.3,46,10.4
25812,18962,Kaposszekcső,14.0,18,10.6
25812,32160,Sásd,17.3,23,11.4
25812,25539,Györe,42.3,55,12.2
25812,05430,Magyarhertelend,20.4,26,12.2
25812,33756,Máza,38.2,49,12.7
25812,30836,Hosszúhetény,24.7,33,14.6
25812,16285,Mindszentgodisa,24.4,31,14.7
25812,07685,Dombóvár,21.6,29,14.8
25812,24411,Lengyel,39.6,47,15.3
25812,11730,Orfű,27.6,36,16.1
25812,14030,Nagymányok,41.5,51,16.9
25812,26125,Aparhant,51.2,60,17.3
17686,13408,Ballószög,19.8,28,6.7
17686,31468,Fülöpháza,21.4,22,7.2
17686,21999,Izsák,8.8,9,8.3
17686,04093,Helvécia,23.7,28,9.9
17686,16939,Orgovány,21.9,24,10.0
17686,22530,Kerekegyháza,16.8,17,10.4
17686,17923,Jakabszállás,35.0,34,13.8
17686,18670,Páhi,21.6,25,14.3
17686,12344,Csengőd,28.2,29,17.5
17686,14058,Fülöpszállás,22.1,24,18.0
17686,26684,Kecskemét,28.1,26,18.7
17686,30605,Kaskantyú,27.8,31,19.3
17686,25061,Szabadszállás,24.8,28,19.8
17686,33622,Fülöpjakab,39.5,35,20.1
17686,18218,Soltszentimre,33.0,40,20.2
17686,08305,Bócsa,43.6,42,20.7
17686,05856,Kunadacs,39.6,42,20.8
17686,10667,Városföld,35.8,33,21.2
17686,31893,Kunszállás,36.3,32,21.3
17686,25432,Tabdi,31.8,34,21.7
04880,08518,Sopron,8.0,13,6.1
04880,12414,Fertőrákos,15.5,18,11.0
04880,06895,Kópháza,13.9,18,11.4
04880,02495,Nagycenk,20.9,26,17.2
04880,23773,Pereszteg,23.3,23,20.1
04880,18403,Hegykő,26.7,33,22.7
04880,32939,Nagylózs,31.3,33,24.3
04880,29090,Sopronhorpács,39.2,41,26.4
04880,04622,Zsira,43.9,46,26.7
04880,30021,Sarród,37.8,45,26.9
04880,31194,Lövő,33.8,35,29.2
04880,09885,Fertőd,38.7,48,30.8
04880,15343,Fertőszentmiklós,46.0,39,31.8
04880,16887,Horvátzsidány,52.1,55,32.8
04880,16832,Kőszeg,59.0,64,33.9
04880,29407,Agyagosszergény,46.7,43,33.9
04880,19673,Újkér,41.2,42,34.6
04880,12140,Csepreg,52.7,55,35.8
04880,08563,Csapod,45.0,41,36.8
04880,02431,Bük,54.4,56,38.6
09362,20871,Szin,10.4,14,9.9
09362,06053,Ragály,16.5,21,10.3
09362,03063,Zádorfalva,18.6,22,10.7
09362,33419,Perkupa,16.1,20,12.4
09362,31671,Felsőtelekes,29.4,32,12.5
09362,05926,Bódvaszilas,19.2,24,15.4
09362,23029,Rudabánya,28.4,34,15.7
09362,16753,Szalonna,21.6,27,16.0
09362,24606,Szuhogy,32.2,38,17.2
09362,10612,Komjáti,20.5,25,18.5
09362,32762,Felsőnyárád,27.0,32,19.0
09362,08077,Szendrő,27.4,33,19.1
09362,34069,Ormosbánya,32.2,38,19.6
09362,27410,Putnok,33.8,40,20.8
09362,11819,Kurityán,29.3,35,21.2
09362,05591,Izsófalva,34.7,41,21.9
09362,14313,Sajókaza,31.7,36,22.0
09362,34120,Rudolftelep,37.7,48,22.9
09362,27456,Szendrőlád,33.5,38,22.9
09362,21953,Bánréve,35.3,41,23.7
29407,09885,Fertőd,14.9,20,3.9
29407,28334,Kapuvár,12.5,16,5.5
29407,15343,Fertőszentmiklós,9.6,10,7.7
29407,30021,Sarród,15.5,19,8.4
29407,15121,Osli,17.9,23,10.2
29407,08563,Csapod,12.9,15,10.7
29407,18403,Hegykő,15.9,19,11.3
29407,04020,Himod,16.2,19,11.9
29407,32939,Nagylózs,18.0,22,14.0
29407,15714,Szárföld,17.1,20,14.1
29407,15422,Rábatamási,20.5,25,15.4
29407,21980,Mihályi,23.0,22,16.2
29407,31194,Lövő,18.3,20,17.1
29407,23773,Pereszteg,27.2,22,17.4
29407,33996,Farád,31.6,32,18.2
29407,19673,Újkér,27.8,30,18.5
29407,04367,Bogyoszló,21.9,27,18.7
29407,31635,Iván,25.1,29,19.0
29407,02495,Nagycenk,27.9,24,19.6
29407,10588,Beled,28.5,27,20.1
08776,29975,Anarcs,9.6,14,4.1
08776,21573,Rétközberencs,6.5,11,4.8
08776,12186,Pátroha,13.6,15,4.9
08776,07676,Gyulaháza,14.2,18,5.1
08776,09265,Kisvárda,6.7,10,5.8
08776,28060,Nyírtass,11.3,14,7.4
08776,22053,Szabolcsbáka,15.5,22,7.9
08776,27748,Pap,14.0,20,8.2
08776,05670,Gégény,17.6,20,8.8
08776,18290,Nyírkarász,19.6,25,9.4
08776,08554,Tiszakanyár,17.9,21,10.3
08776,03647,Döge,13.7,15,10.6
